4,33,38
73,78,37
30,25,37
49,60,37
56,38,36
73,56,36
14,4,36
16,28,35
2,99,35
31,14,35
48,0,35
47,88,35
14,63,35
96,28,34
79,63,34
47,91,34
56,48,34
23,33,34
43,84,34
2,37,34
27,29,34
75,76,34
42,77,34
61,62,34
51,75,34
95,13,34
42,62,33
44,41,33
36,18,33
43,65,33
57,39,33
35,43,33
83,25,33
99,53,33
1,95,33
11,69,33
0,55,33
69,48,33
69,30,33
53,7,33
28,87,33
38,72,33
85,35,33
58,83,33
52,85,33
47,93,33
2,31,33
98,12,33
17,72,33
36,50,33
73,55,33
21,80,33
94,54,33
94,5,32
48,77,32
31,80,32
74,49,32
73,98,32
8,53,32
29,66,32
6,66,32
35,92,32
12,90,32
79,85,32
92,79,32
1,94,32
3,15,32
48,60,32
92,25,32
62,70,32
47,78,32
81,11,32
27,44,32
3,19,32
41,50,32
77,50,32
62,39,32
74,52,32
16,84,32
41,13,32
70,18,32
99,42,32
39,99,32
26,52,32
28,91,32
17,12,32
3,69,32
1,3,32
17,91,32
12,35,32
79,8,32
99,69,32
39,17,32
28,48,31
46,70,31
28,34,31
62,64,31
94,96,31
13,55,31
12,42,31
1,13,31
44,26,31
63,16,31
25,29,31
89,36,31
16,15,31
29,34,31
68,32,31
62,42,31
24,10,31
72,32,31
15,0,31
17,44,31
87,40,31
18,23,31
95,44,31
67,93,31
57,41,31
31,39,31
82,24,31
53,66,31
13,47,31
10,51,31
54,75,31
26,6,31
18,79,31
37,60,31
93,14,31
87,28,31
3,13,31
20,98,31
85,55,31
70,47,31
65,12,31
27,3,31
74,93,31
13,67,31
85,72,31
47,9,31
18,17,30
13,11,30
14,98,30
6,40,30
95,37,30
29,76,30
51,77,30
20,83,30
23,66,30
72,60,30
93,54,30
87,81,30
92,59,30
91,92,30
22,77,30
82,54,30
98,6,30
17,78,30
16,78,30
32,90,30
67,21,30
24,39,30
17,17,30
20,75,30
12,95,30
36,52,30
49,59,30
6,23,30
2,93,30
20,35,30
32,86,30
76,45,30
86,37,30
98,84,30
12,20,30
49,50,30
57,25,30
44,99,30
82,65,30
